吖	kyaz	口丫
晞	oxuj	日㐅𠂇巾
晰	omjb	日木斤
晳	mjoo	木斤日
暿	otkk	日士口䒑口
曦	oygk	日𦍌戈亻人丂
析	mjbu	木斤
枲	skmu	厶口木
桸	mxuj	木㐅𠂇巾
椞	mjmu	木斤木
椺	mrkm	木亻口木
榽	mvyd	木爫幺大
樨	mubn	木尸八小牛
橀	msam	木厶一𫶧皿
橲	mtkk	木士口䒑口
檄	mbfw	木白方攵
欷	xujq	㐅𠂇巾欠
歖	tkbq	士口䒑口欠
氥	qxii	气西
汐	dxid	氵夕
洗	dner	氵⺧儿
浠	dxuj	氵㐅𠂇巾
淅	dmjb	氵木斤
渓	dvfu	氵爫夫
溪	dvyd	氵爫幺大
漇	drvz	氵彳止龰
漝	dxxb	氵习习白
潝	drax	氵𠆢一口习习
潟	djbh	氵臼勹灬
澙	djvh	氵臼㇉一灬
烯	hxuj	火㐅𠂇巾
焁	kqho	口欠火
焈	hsho	户巳火
焟	hcao	火卄一日
焬	howu	火日勿
煕	isho	𦣞巳灬
熂	hqmi	火气米
熄	hzxb	火自心
熈	pish	丿臣巳灬
熙	isho	𦣞巳灬
熹	tkbh	士口䒑口灬
熺	htkk	火士口䒑口
熻	hrax	火𠆢一口习习
燨	hywo	火𦍌我
爔	hygk	火𦍌戈亻人丂
牺	nxiq	牜西
犀	ubxn	尸八小牛
犔	nqmi	牜气米
犠	nywo	牛𦍌我
犧	nygk	牜𦍌戈亻人丂
玺	dxyu	⺈小玉
琋	wxuj	𤣩㐅𠂇巾
璽	ajxy	{一}巾乂乂乂乂八玉
瘜	bzxb	疒自心
皙	mjbd	木斤白
睎	oxuj	目㐅𠂇巾
瞦	otkk	目士口䒑口
矖	ollu	目丽鹿
矽	uxii	石夕
硒	uxii	石西
磎	uvyd	石爫幺大
磶	ujbh	石臼勹灬
礂	utkk	石士口䒑口
禊	pfdd	礻丰刀大
禧	ptkk	礻士口䒑口
稀	hxuj	禾㐅𠂇巾
穸	bbxi	宀八夕
窸	bbcx	宀八釆心
粞	mxii	米西
糦	mtkk	米士口䒑口
細	stmi	糹田
綌	sgui	糹谷
緆	sowu	糹日勿
縘	svyd	糹爫幺大
縰	srvz	糹彳止龰
繥	stkk	糹士口䒑口
细	stmi	纟田
绤	sgui	纟谷
羛	yfuh	𦍌弗
羲	ygrk	𦍌戈亻人丂
習	xxbd	习习白
翕	rakx	𠆢一口习习
翖	rakx	𠆢一口习习
肸	obui	⺼八十
肹	obkv	⺼八丂
膝	omru	⺼木人氺
舃	jvah	臼㇉一灬
舄	jbho	臼勹灬
舾	vxiz	舟西
莃	cxuj	艹㐅𠂇巾
菥	cmjb	艹木斤
葈	cskm	艹厶口木
葸	ctxb	艹田心
蒠	czxb	艹自心
蒵	cvyd	艹爫幺大
蓆	cgcj	艹广廿巾
蓰	crvz	艹彳止龰
蕮	cjbh	艹臼勹灬
薂	cbfw	艹白方攵
虩	xxoj	小小日虍几
蜥	imjb	虫木斤
螅	izxb	虫自心
蟋	icxb	虫釆心
蟢	itkk	虫士口䒑口
蠵	iurk	虫山亻{隹右}冂八口
衋	ybbm	聿百百丿皿
袭	lyis	龙衣
襲	lyis	龍衣
西	aekz	一儿口
覡	grrj	工人人見
覤	hjjm	虍几見
觋	grrj	工人人见
觹	dyrk	⺈用亻{隹右}{凹-一}
觽	dyuk	⺈用山亻{隹右}{凹-一}
觿	dyuk	⺈用山亻{隹右}冂八口
謑	yvyd	訁爫幺大
謵	yxxb	訁习习白
譆	ytkk	訁士口䒑口
谿	vydg	爫幺大谷
豀	gvyd	谷爫幺大
豨	uxuj	豕㐅𠂇巾
豯	uvyd	豕爫幺大
貕	vvyd	豸爫幺大
赥	iqmi	赤欠
赩	idba	赤⺈巴
趇	tzli	土龰立
趘	tzum	土龰尸毛
蹝	zrvz	𧾷彳止龰
躧	zllu	𧾷丽鹿
邜	xeri	夕⻏
郋	zeri	自⻏
郗	xuje	㐅𠂇巾⻏
郤	geru	谷⻏
鄎	zxer	自心⻏
酅	urve	山亻{隹右}冂八口⻏
醯	ysam	酉厶一𫶧皿
釳	jpvv	金𠂉乙
釸	jxin	金夕
鈢	jmun	金木
鉨	jdxn	金⺈小
鉩	jrxn	金𠆢小
銑	jner	金⺧儿
錫	jowu	金日勿
鎴	jzxb	金自心
鏭	jcxb	金釆心
鐊	jeow	金⻖日一勿
鑴	jurk	金山亻{隹右}冂八口
铣	jner	钅⺧儿
锡	jowu	钅日勿
阋	mjer	门臼儿
隙	exxo	⻖小小日
隟	evgo	⻖巛果
隰	eoyh	⻖日幺幺灬
隵	ehag	⻖虍一口䒑戈
霫	yxxb	雨习习白
霼	yyqm	雨云气米
飁	xxbf	习习白風
餏	uyii	飠衣
餼	uqmi	飠气米
饎	utkk	飠士口䒑口
饩	uqii	饣气
饻	uyii	饣衣
騱	mvyd	馬爫幺大
騽	mxxb	馬习习白
驨	murk	馬山亻{隹右}冂八口
鬩	mjer	鬥臼儿
鯑	yxuj	魚㐅𠂇巾
鰼	yxxb	魚习习白
鱚	ytkk	魚士口䒑口
鳛	yxxb	鱼习习白
鵗	xujn	㐅𠂇巾鳥
鸂	dvyn	氵爫幺大鳥
黖	lhwu	{里}灬旡
鼷	jvvd	臼{鼠下}爫幺大
𠅤	wtxb	亠田心
𠆱	rudd	亻十丶
𠉢	rkuv	亻囗水
𠔃	bkva	丷丂
𠔍	byza	八由
𠘕	dish	冫𦣞巳灬
𠜗	xujd	㐅𠂇巾刂
𠟊	rakd	𠆢一口习习刂
𠤴	kvil	匚只
𠨚	xuje	㐅𠂇巾卩
𠪙	itgs	厂田共
𠬬	bjia	八及
𠴭	kowu	口日勿
𠶨	kxho	口𱼀火
𠺒	kzxb	口自心
𡁱	kish	口𦣞巳灬
𡃢	kgwd	口{艮}旡旦
𡅕	tkgg	士口古士口古
𡏛	tvyd	土爫幺大
𡗞	ydac	幺大
𡗳	gdas	公大
𡘐	dwoo	大亠日
𡘡	idaf	𦣞大
𡙋	dowf	大目夂
𡜧	npkx	女丿囗㐅
𡝧	nkdn	牛冂刂女
𡦎	zqmi	子气米
𡩤	brco	宀亻卄一日
𡳚	uvka	尸𠃌囗戈口{一}
𡶯	upkx	山丿囗㐅
𡻎	urvn	山亻{隹右}乃
𢀊	vghr	巛果虍人
𢊚	grvz	广彳止龰
𢋼	ghag	广虍一口䒑戈
𢑧	eeuu	彐彐束
𢒩	prvz	彡彳止龰
𢒲	wprz	亠彡彳止龰
𢗴	xbkv	忄八丂
𢙅	rakx	𠆢一口心
𢜣	mpxb	木片心
𢡁	xrax	忄𠆢一口习习
𢤋	xfoo	忄夫目目
𢧽	vxdg	占㐅丶丶丶丶戈
𢨟	bkwk	⺊囗夂口戊{一}口
𢬾	fxuj	扌㐅𠂇巾
𢭁	fpxi	扌丿糸
𢹍	fhag	扌虍一口䒑戈
𣅾	rooj	冉日
𣎮	oygk	月𦍌戈亻人丂
𣒃	mruu	木彳殳
𣚔	mjbh	木臼勹灬
𣟵	mhag	木虍一口䒑戈
𣢁	uqmi	尸欠
𣢂	uqmi	尸欠
𣢍	bkqm	八丂欠
𣢎	uqmi	氏欠
𣢑	caqm	屮一欠
𣢓	cqmc	廿欠
𣣉	jeqm	臼儿欠
𣤢	ikuq	車凵殳欠
𣤳	uqrq	十{具-八}彳皮欠
𣤴	hakq	虍一口䒑戈欠
𣨗	mjdd	木斤歹
𣯪	mrvz	毛彳止龰
𣳬	dfzd	氵缶
𤃪	dhag	氵虍一口䒑戈
𤄎	dmje	氵鬥臼儿
𤄬	dvyv	氵爫幺大亻{隹右}
𤇴	ihof	𦣝灬
𤌷	httx	火土土心
𤓔	hhhd	火火火火火大
𤓚	hyhh	火𦍌禾戈乃灬
𤟧	qtxb	犭田心
𤠓	qvyd	犭爫幺大
𤡡	qjbr	犭臼勹𠃊人
𤡬	qtbb	犭士冖一口䒑
𤢀	qtkk	犭士口䒑口
𤤱	wpky	𤣩丿冂又
𤥒	wxif	𤣩西
𤬕	guki	瓜氏口𫶧
𤬘	hakg	虍一口䒑瓜
𤮆	hywa	虍业瓦
𤮙	hakw	虍一口䒑瓦
𤲺	tvyd	田爫幺大
𤳥	ttmm	田田木木
𤶈	bxik	疒西
𤶰	bapm	疒一丿皿
𤹊	buis	疒少虫
𥄖	obui	目八十
𥄛	oyuu	目予
𥈜	foou	夫目目
𥈻	ogtu	目共土
𥋁	oobd	目目冖电
𥋟	oywo	目𦍌我
𥎃	mqmi	矛气米
𥪦	lvyd	立爫幺大
𥮬	vowu	竹日勿
𥰝	vzxb	竹自心
𥰥	vvyd	竹爫幺大
𥺚	mmjb	米木斤
𥻥	mgei	米鬲
𥿭	sxus	糹㐅𠂇厶
𦂅	sskm	糹厶口木
𦃝	scxi	糹艹糸
𦐠	xxui	习习氐
𦙝	obdk	⺼八丁
𦜱	obis	⺼八虫
𦞝	oqmi	⺼气米
𦠪	rrrr	人人人人日肉
𦤈	zrrf	自人人
𦩭	vtxb	舟田心
𦪿	lvzs	龍舟
𦮐	cyda	艹幺大
𦱓	ctcc	艹田廾
𦷲	cvxi	艹爫糸
𦸚	cxxb	艹习习白
𦼗	cubn	艹尸八小牛
𧀬	comu	艹⺼木人氺
𧂙	cdjh	艹氵臼勹灬
𧈅	uoxj	少日小虍几
𧈍	kktj	口口田十虍几
𧉁	qisi	气虫
𧋐	iuus	虫束
𧎵	iqmi	虫气米
𧐔	ixxb	虫习习白
𧚃	ppxi	衤丿糸
𧣩	dyxj	⺈用㐅𠂇巾
𧤟	dyqm	⺈用气米
𧥤	yuij	訁尸
𧦁	yrru	訁入入
𧧹	rvwk	亻只亠二口
𧪢	yqmi	訁气米
𧬈	yrax	訁𠆢一口习习
𧯈	gxxo	谷小小日
𧯊	guox	谷少日小
𧯗	gyvd	谷雨爫幺大
𧱲	uqmi	豕气米
𧲘	uhag	豕虍一口䒑戈
𧶖	bxuj	貝㐅𠂇巾
𧹨	caoi	卄一日赤
𧹶	itxi	赤田糸
𧹽	ioyh	赤日幺幺灬
𧺨	tzxb	土龰心
𧻶	tzxj	土龰㐅𠂇巾
𧿅	zvui	𧾷⺄十
𧿝	zbkv	𧾷八丂
𨀙	ztkz	𧾷士口
𨋦	ipky	車丿冂又
𨐛	uuxb	尸水辛
𨜐	txer	田心⻏
𨞘	hake	虍一口䒑⻏
𨡂	yxuj	酉㐅𠂇巾
𨮪	ajxj	{一}巾乂乂乂乂八金
𨳛	mjif	門及
𨷘	myer	門雨而
𨻁	ezxb	⻖自心
𨻥	eoay	⻖日一业
𨿛	rvxj	亻{隹右}㐅𠂇巾
𩅖	dkyd	刀口雨幺大
𩊿	gcao	革卄一日
𩍆	gjbh	革臼勹灬
𩎉	gllu	革丽鹿
𩎥	wkfy	𫝀口㐄曳
𩒽	xujy	㐅𠂇巾頁
𩗊	ftkz	風士口
𩗱	fmjb	風木斤
𩛹	uqtu	飠气土
𩦇	mtkk	馬士口䒑口
𩭡	egpo	E𠫔彡卄一日
𩲁	gxiv	鬼夕
𩽨	yurk	魚山亻{隹右}冂八口
𩾼	unnv	水鳥
𩿛	qnnr	犬鳥
𪃼	zxnn	自心鳥
𪄛	nzxb	鳥自心
𪄶	xxbn	习习白鳥
𪅲	rakn	𠆢一口习习鳥
𪓷	vydd	爫幺大口电
𪕯	jvye	臼{鼠下}頁
𪖥	ztwj	自田丌㐅𠂇巾
㗇	kuey	口尸二コ又
㘡	kjxz	囗甲
㙤	thhu	土虍乎
㰺	uekq	尸二コ又欠
㽠	tdrr	田大人人
䖎	ehji	⻖虍几
䖖	hjjx	虍几甲
䛅	yjxj	訁甲
䦖	mtkz	門士口
䪗	wkfy	𫝀口㐄尸二コ又
䫗	ueky	尸二コ又頁
丅	alla	{一}丨
下	aboa	一卜
乤	xvvx	下乙
侠	rjxf	亻夹
俠	rdrr	亻大人人
傄	rdbo	亻大丷目
匣	kjxl	匚甲
圷	txxu	土下
夏	bwfd	𦣻夂
夓	jywf	𦥑頁夂
峡	ujxj	山夹
峽	udrr	山大人人
懗	xiii	忄赤赤
敮	qjby	千臼⺊又
暇	ouey	日尸二コ又
柙	mjxu	木甲
梺	mmxx	木木下
炠	hjxo	火甲
烚	hrak	火𠆢一口
煆	huey	火尸二コ又
狎	qjxr	犭甲
狭	qjxr	犭夹
狹	qdrr	犭大人人
珨	wrak	𤣩𠆢一口
瑕	wuey	𤣩尸二コ又
疜	bxxk	疒下
疨	byak	疒牙
睱	ouey	目尸二コ又
瞎	obfk	目宀丰口
硖	ujxi	石夹
硤	udrr	石大人人
碬	uuey	石尸二コ又
祫	prak	礻𠆢一口
筪	vkjx	竹匚甲
縖	sbfk	糹宀丰口
罅	fhhu	缶虍乎
翈	jxxi	甲习习
舝	wvbf	𫝀巛冖厶㐄
舺	vjxz	舟甲
蕸	czuy	艹辶尸二コ又
虲	ibos	虫卜
谺	gyau	谷牙
赮	iuey	赤尸二コ又
轄	ibfk	車宀丰口
辖	ibfk	车宀丰口
遐	zuey	辶尸二コ又
鍜	juey	金尸二コ又
鎋	jbfk	金宀丰口
鎼	jhuz	金虍手
鏬	jhhu	金虍乎
閕	myaf	門牙
陜	edrr	⻖大人人
陿	ekdr	⻖匚大人人
霞	yuey	雨尸二コ又
颬	fyag	風牙
騢	muey	馬尸二コ又
魻	yjxu	魚甲
鰕	yuey	魚尸二コ又
鶷	bfkn	宀丰口鳥
黠	lhtk	{里}灬士口
𠖹	djxd	冫甲
𠢆	bfkl	宀丰口力
𠩘	idrr	厂大人人
𠽫	kmya	口門牙
𡈮	kcqm	囗艹去皿
𡏘	tbwf	土𦣻夂
𡺷	ubwf	山𦣻夂
𢈙	gdrr	广大人人
𢈤	gqjx	广七甲
𢑓	hexx	彑儿乂
𢗄	xxxb	忄下
𢘉	xjxb	忄甲
𢚌	xefu	忄⺕父
𢝅	uekx	尸二コ又心
𢩹	fxxu	扌下
𣢗	jqmx	甲欠
𣹱	draq	氵𠆢一口欠
𤗭	phhu	片虍乎
𤙇	njxq	牜甲
𤟝	qhjb	犭虍巾
𤪆	wybn	𤣩𦘒冖厶牛
𤪍	wwvf	𤣩𫝀巛冖厶㐄
𥁆	ymna	牙皿
𥯾	vbue	竹宀⾆
𥰶	vbfk	竹宀丰口
𥻴	bwmi	𦣻夂米
𦦕	qjdr	千臼大人人
𦵯	cbfk	艹宀丰口
𦾏	cacj	艹一艹𰀁甲
𧆥	hjxu	虍甲
𧇍	fhji	缶虍几
𧈄	hjbw	虍几𦣻夂
𧔂	bsni	宀厶牛虫虫
𧕱	wvbi	𫝀巛冖厶㐄虫虫
𧦎	ypkz	訁丿口
𧪕	yuey	訁尸二コ又
𧪹	ybxb	訁宀辛
𧫒	ybwu	訁宀亠人人十
𧯋	gmya	谷門牙
𨩽	jhee	金虍𰀂
𨲑	egdy	E𠫔刀又云
𨳉	mnnf	門乀
𨻲	ehhu	⻖虍乎
𨽯	eihr	⻖𠂆虍人𠂆虍人
𩄗	yvhu	雨正乎
𩉾	gjxe	革甲
𩎲	tbef	士冖儿𫝀口㐄
𩏓	bfkf	宀丰口𫝀口㐄
𩝛	ubfk	飠宀丰口
𩮂	egpr	E𠫔彡曰勹𠃊人
𪄂	bwnn	𦣻夂鳥
𪗾	vkrk	止凵人人一人人士口
𪘘	drrr	大人人止凵人人一人人
㔵	kssg	匚巳巳共
㘅	kraj	口彳一丁金
㘋	kiyb	口臣又貝
㛾	nwak	女戊{一}口
㜪	lmjn	立木斤女
㡉	jgxr	巾弓玄
㡾	ggfl	广艮
㢺	glnv	弓立女
㦓	xxqh	忄𱼀犬灬
㧋	fqru	扌犬
㧥	fner	扌⺧儿
㩈	fbbk	扌宀八尹口
㪇	newf	⺧儿攵
㫫	oaye	日一业
㬎	oyyh	日幺幺灬
㬗	oxqh	日𱼀犬灬
㭠	mner	木⺧儿
㭹	mgxr	木弓玄
㮭	mskg	木龴囗丷干
㯀	mfpz	木方𠂉疋
㳄	dqmd	氵欠
㳭	dkmu	氵口木
㵪	dydq	氵𦍌氵欠
㶍	dyyh	氵魚羊
㺌	qjmr	犭兼
㿅	brvz	疒彳止龰
䀏	bouc	勹目
䁂	iyou	臣又目
䃱	uguj	石戈十韭
䃸	ugrj	石戈人人韭
䉯	viyb	竹臣又貝
䉳	vyyh	竹魚羊
䏹	ojmo	⺼見
䒸	cpmn	艹丿皿
䕔	craj	艹彳一丁金
䗾	ioyh	虫日幺幺灬
䘆	ibfx	虫宀龶⺫心
䚚	dyne	⺈用⺧儿
䜢	ybfx	訁宀龶⺫心
䝨	llyb	丨丨又貝
䞁	bkon	貝匚日女
䢾	neer	⺧儿⻏
䤼	jbuv	金白水
䥪	joyh	金日幺幺灬
䦥	mmmu	門木木
䧋	ejmr	⻖見
䧟	evjq	⻖爫臼
䧮	ebfx	⻖宀龶⺫心
䨘	yjmu	雨見
䨷	ymmo	雨木木⺊又⺼
䱤	ydjq	魚⺈臼
䲗	yraj	魚彳一丁金
䵇	gmmw	广木木攵
䵌	cayr	卄一由八大人人
䶟	vkrj	止凵人人一人人⺈臼
仙	rujf	亻山
仚	rujf	𠆢山
伭	rxrf	亻玄
佡	rruj	亻𠆢山
僊	rxdv	亻覀大㔾
僩	rmoo	亻門月
僲	rxxf	亻覀夕㐄
僴	rmoo	亻門日
先	nerq	⺧儿
冼	dner	冫⺧儿
县	qsip	且厶
咞	kkdz	口开
咸	wakz	戊{一}口
哯	kjmz	口見
啣	kver	口𦈢卩
嘕	kvvh	口正㇉一灬
垷	tjmu	土見
塪	tvjq	土爫臼
奾	nujv	女山
妶	nxrv	女玄
姭	llln	力力力女
娊	njmv	女見
娴	nmmu	女门木
娹	ngxr	女弓玄
婱	gxnv	弓玄女
嫌	njmv	女兼
嫺	nmoo	女門月
嫻	nmmu	女門木
宪	bner	宀⺧儿
尟	oazu	日一龰少
尠	ceku	卄二匸八少
屳	ruju	入山
岘	ujmj	山见
峴	ujmj	山見
崄	uqmj	山佥
嶮	urar	山𠆢一口口人人
幰	jbfx	巾宀龶⺫心
廯	gyyh	广魚羊
弦	gxrs	弓玄
忺	xqmb	忄欠
憪	xmoo	忄門月
憲	bfsx	宀龶⺫心
憸	xrar	忄𠆢一口口人人
挦	fecy	扌彐寸
掀	fjqm	扌斤欠
搟	figj	扌車干
撊	fmoo	扌門月
撏	fegc	扌𫜹工口寸
攇	fbfx	扌宀龶⺫心
显	oyeo	日业
晛	ojmo	日見
暹	zorv	辶日亻{隹右}
杴	mqmu	木欠
枮	mvju	木占
橌	mmoo	木門月
橺	mmoo	木門日
櫶	mbfx	木宀龶⺫心
毨	mner	毛⺧儿
氙	quji	气山
涀	djmd	氵見
涎	dzvg	氵廴正
湺	drkm	氵亻口木
澖	dmmu	氵門木
瀗	dbfx	氵宀龶⺫心
灦	doyy	氵日幺幺灬頁
烍	hner	火⺧儿
燹	uuho	豕豕火
狝	qdxn	犭⺈小
猃	qqmr	犭佥
献	ukbq	十冂丷干犬
獫	qrar	犭𠆢一口口人人
獮	qajb	犭{一}巾乂乂乂乂八
獻	hgqr	虍鬲犬
玁	qkkw	犭口口厂{⿱𠃍耳}攵
现	wjmf	𤣩见
玹	wxrf	𤣩玄
珗	wner	𤣩⺧儿
現	wjmf	𤣩見
甉	jwam	兼瓦
痫	bmmu	疒门木
癇	bmoo	疒門月
癎	bmoo	疒門日
県	ovxn	目𠃊小
睍	ojmu	目見
礥	uiyb	石臣又貝
祆	ptmp	礻天
禒	phui	礻彑𧰨
秈	huje	禾山
筅	vner	竹⺧儿
箲	vdne	竹氵⺧儿
籼	muji	米山
粯	mjmi	米見
糮	mipm	米臣𠂉丶皿
絃	sxri	糹玄
絤	sxii	糹西
綖	szvg	糹廴正
綫	sgge	糹戈戈
線	sbuv	糹白水
縣	qxpx	{具-八}小丿糸
繊	sguy	糹戈十业
纎	sguj	糹戈十韭
纖	sgrj	糹戈人人韭
线	sjmi	纟戋
缐	sbuv	纟白水
羡	ydqm	𦍌冫欠
羨	ydqm	𦍌氵欠
胘	oxro	⺼玄
腺	obuv	⺼白水
臔	oiyb	⺼臣又貝
臽	djqc	⺈臼
舷	vxrz	舟玄
苋	cjmc	艹见
苮	cruj	艹亻山
莧	cjmc	艹見
藓	cyyh	艹鱼羊
藖	ciyb	艹臣又貝
蘚	cyyh	艹魚羊
蚬	ijms	虫见
蚿	ixrs	虫玄
蛝	igfs	虫艮
蜆	ijms	虫見
衔	radj	彳一丁钅
衘	radv	彳一丁𦈢
褼	pxds	衤覀大巳
襳	pgrj	衤戈人人韭
誢	yjmj	訁見
誸	ygxr	訁弓玄
諴	ywak	訁戊{一}口
譣	yrar	訁𠆢一口口人人
豏	djmz	豆兼
賢	iybw	臣又貝
贒	ivxb	臣中心貝
贤	llyb	丨丨又贝
赻	tzuc	土龰少
跣	zner	𧾷⺧儿
跹	zzqm	𧾷辶千
蹮	zxdv	𧾷覀大㔾
躚	zzxs	𧾷辶覀大巳
軐	ivui	車⺄十
輱	iwak	車戊{一}口
酰	yner	酉⺧儿
醎	ywak	酉戊{一}口
銜	radj	彳一丁金
鋧	jjmn	金見
錎	jdjq	金⺈臼
鍁	jjqm	金斤欠
鍌	dnej	氵⺧儿金
鑦	jiyb	金臣又貝
锨	jjqm	钅斤欠
閑	mmuf	門木
闲	mmuf	门木
限	egfr	⻖艮
陥	edlo	⻖⺈丨日
险	eqmr	⻖佥
陷	edjq	⻖⺈臼
険	erar	⻖𠆢一口人
險	erar	⻖𠆢一口口人人
霰	ycaw	雨卄一⺼攵
韅	goyh	革日幺幺灬
韯	gujq	戈十韭
韱	grrj	戈人人韭
顕	oyye	日业頁
顯	oyyy	日幺幺灬頁
餡	udjq	飠⺈臼
馅	udjq	饣⺈臼
馦	hojm	禾日兼
鮮	yyhu	魚羊
鱻	yyyu	魚魚魚
鲜	yyhu	鱼羊
鶱	bfbn	宀𠀎八鳥
鷳	monn	門月鳥
鷴	mmnn	門木鳥
鷼	monn	門日鳥
鹇	mmnn	门木鸟
鹹	vxdk	占㐅丶丶丶丶戊{一}口
麙	lwak	鹿戊{一}口
麲	lwjm	來{夊}見
鼸	jvjm	臼{鼠下}兼
𠊏	rned	亻⺧儿刂
𠏓	ralk	𠆢一𠁣口厶口
𠓌	ggjm	光广兼
𠚆	allo	凹丨
𠛑	xdcr	玄刂
𠜎	nedc	⺧儿刂
𠠁	oyyd	日幺幺灬刂
𠤕	buii	匕矢
𠫄	iybs	厂羊丷口𠆢丶龴
𠯟	kjmz	口见
𠷢	kvad	口𦈢一丁
𠿢	kydq	口𦍌氵欠
𡐖	tiyt	土臣又土
𡒓	ipat	臣𠂉一⺫土
𡗏	kkix	口口厂{⿱𠃍耳}攵夕夕
𡞣	wakn	戊{一}口女
𡫹	bbck	宀必屮戊{一}口
𡰲	uuii	尸尸
𡾮	uyyh	山魚羊
𡿤	cbok	卝八日八土山口山口
𢅮	tetj	土儿土火火巾
𢋮	gmmo	广{木}{木}攵⺝
𢎙	avav	乛㇉乛㇉
𢐐	ggpx	弓弓丿糸
𢒆	xppb	忄彡
𢕖	rxdv	彳覀大㔾
𢕭	rewf	彳{⿱𠃍耳}攵
𢖋	radc	彳一丁土田廾
𢖎	rxdl	彳覀大㠯
𢖝	rgrj	彳戈人人韭
𢚀	xzvg	忄廴正
𢛆	gxxb	弓玄心
𢥌	xyyh	忄魚羊
𢫿	fxus	扌㐅𠂇厶
𢮂	fgxr	扌弓玄
𢷑	foyh	扌日幺幺灬
𢹚	fegy	扌E𠫔彡⺕冖又
𣆕	lllo	力力力日
𣊺	omoo	日門日
𣑹	mujb	木山巾
𣔙	mjqm	木斤欠
𣕎	mmtm	木木田
𣞘	mkrr	木匚𠆢一口口人人
𣟲	myyh	木魚羊
𣮾	tmmc	士米毛
𣰷	mgrj	毛戈人人韭
𤁦	djwa	氵兼瓦
𤉌	hdho	禾刂火
𤑃	xhjm	𱼀火兼
𤓤	hwjh	虍夂几虍夂几火
𤟅	qdjq	犭⺈臼
𤡥	qmoo	犭門月
𤼂	bbfx	疒宀龶⺫心
𥑻	uner	石⺧儿
𥙆	uxri	示玄
𥟕	hcqm	禾艹欠
𥦶	djbb	⺈臼宀八
𥬍	vruj	竹亻山
𥰳	vijd	竹車九丶
𥲋	vrax	竹彳一丁玄
𥻇	mwak	米戊{一}口
𥽏	ipam	臣𠂉一⺫米
𦋈	sgge	罒戈戈
𦎵	ysob	羊厶⺝匕匕
𦑘	wakx	戊{一}口习习
𦒜	wkkx	亠囗口旦习习
𦠹	xhxh	𱼀火𱼀火
𦧐	suue	厶十舌
𦩢	vwak	舟戊{一}口
𦭶	cner	艹⺧儿
𦱁	cgxr	艹弓玄
𦸊	cxdv	艹覀大㔾
𦽭	cxxj	艹夕夕臼
𧂞	ctbh	艹土丷干火火
𧈁	jhrf	兼虍人
𧕇	iyyh	虫魚羊
𧖙	oyyi	日幺幺灬頁虫
𧗹	rado	彳一丁立日
𧠒	wjmh	壬見
𧫹	dibs	⺈厂八亠二口𠆢丶龴
𧱀	uner	豕⺧儿
𧸂	bewf	貝{⿱𠃍耳}攵
𧻒	tzll	土龰力力力
𧼏	tzgx	土龰弓玄
𧾨	tzbx	土龰宀龶⺫心
𨁅	zxbu	𧾷辛
𨇤	zyyh	𧾷魚羊
𨏥	ibfx	車宀龶⺫心
𨖱	zxbn	辶玄冖牛
𨘙	zxbi	辶玄冖車
𨘞	zubg	辶十冖八⺫干
𨙡	zqcn	辶千艹一凵鳥
𨚾	gger	𡕒𡕒⻏
𨵬	megf	門⻖艮
𨺘	ezqv	⻖廴千止
𩏩	wkfr	𫝀口㐄𠆢一口口人人
𩝈	uwak	飠戊{一}口
𩤥	mwak	馬戊{一}口
𩤦	nnnm	女女女馬
𩦂	mmoo	馬門月
𩦹	mipm	馬臣𠂉丶皿
𩱆	gggn	弓弓鬲女
𩶤	yner	魚⺧儿
𪂶	wakn	戊{一}口鳥
𪄏	xfnn	覀分鳥
𪄷	xdvn	覀大㔾鳥
𪔩	tkbk	士口䒑支戊{一}口
㗽	xedk	乡⻏丶{艮}口
㟄	uyhj	山羊
㟟	ugvv	山共㔾
䊑	mxkk	米⺌冂口
䐟	ofrj	⺼𠀎冉
䔗	cpyh	艹礻羊
䖮	ipkk	虫丿冂口
䜶	dwfg	豆夂㐄
䢽	gkba	共口巴
乡	vppv	𠃋𠂈
享	wkzi	亠口子
亯	wkoo	亠口日
佭	rwfg	亻夂㐄
像	rdui	亻{⺈丿口}𧰨
勨	duli	{⺈丿口}𧰨力
厢	imou	厂木目
向	pkkz	丿冂口
响	kpkk	口丿冂口
嚮	xedk	乡⻏丶{艮}丿冂口
姠	npkk	女丿冂口
嶑	udui	山{⺈丿口}𧰨
庠	gyhl	广羊
廂	gmou	广木目
忀	rykf	彳衣口口𠀎
想	moxb	木目心
晑	opkk	日丿冂口
曏	oxeg	日乡⻏丶{艮}
栙	mwfg	木夂㐄
楿	mhoo	木禾日
橡	mdui	木{⺈丿口}𧰨
欀	mykf	木衣口口𠀎
湘	dmou	氵木目
珦	wpkk	𤣩丿冂口
瓖	wykf	𤣩衣口口𠀎
相	mouu	木目
祥	pyhp	礻羊
稥	hhoo	禾⺣日
箱	vmou	竹木目
絴	syhi	糹羊
緗	smou	糹木目
缃	smou	纟木目
缿	fiak	缶𠂆一口
羊	bafg	丷一𰀁
羏	ypph	羊彡
翔	yxxi	羊习习
膷	oxeg	⺼乡⻏丶{艮}
芗	cxlc	艹乡
萫	choo	艹禾日
葙	cmou	艹木目
薌	cxeg	艹乡⻏丶{艮}
蚃	xisl	乡虫
蟓	idui	虫{⺈丿口}𧰨
蠁	xedi	乡⻏丶{艮}虫
衖	radg	彳一丁共
襄	ykkf	衣口口𠀎
